CDSCode,Short_CDS,NCESDist,NCESSchool,County,District,School,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,DOCType,SOCType,EdOpsName,EILName,GSoffered,GSserved,Virtual,Latitude,Longitude,LastUpdate
01100170000000,0000000,0691051,NA,Alameda,Alameda County Office of Education,NA,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 887-0152,NA,www.acoe.org,NA,NA,NA,County Office of Education (COE),NA,NA,NA,NA,NA,NA,37.658212,-122.09713,2017-02-02
01100170112607,0112607,0691051,10947,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,1515 Webster Street,1515 Webster St.,Oakland,94612,CA,(510) 596-8901,NA,www.envisionacademy.org/,2006-08-28,NA,Y,County Office of Education (COE),High Schools (Public),Traditional,High School,9-12,9-12,N,37.80452,-122.26815,2015-06-18
01100170123968,0123968,0691051,12844,Alameda,Alameda County Office of Education,Community School for Creative Education,2111 International Boulevard,2111 International Blvd.,Oakland,94606-4903,CA,(510) 686-4131,NA,www.communityschoolforcreativeeducation.org,2011-08-22,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,K-8,K-8,N,37.784648,-122.23863,2016-07-18
01100170124172,0124172,0691051,12901,Alameda,Alameda County Office of Education,Yu Ming Charter,1086 Alcatraz Avenue,1086 Alcatraz Ave.,Oakland,94608-1265,CA,(510) 452-2063,NA,www.yumingschool.org,2011-08-09,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,K-8,K-6,N,37.847375,-122.28356,2016-05-10
01100170125567,0125567,0691051,13008,Alameda,Alameda County Office of Education,Urban Montessori Charter,5328 Brann Street,5328 Brann St.,Oakland,94619-3312,CA,(510) 842-1181,NA,www.urbanmontessori.org,2012-08-27,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,K-8,K-6,N,37.778352,-122.1895,2015-10-09
01100170130401,0130401,0691051,09264,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,2500 Fairmont Avenue,2500 Fairmont Ave.,San Leandro,94578-1005,CA,(510) 670-7609,NA,www.acoe.org,1980-07-01,NA,N,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,High School,K-12,8-12,N,37.712878,-122.11173,2016-11-10
01100170130419,0130419,0691051,06830,Alameda,Alameda County Office of Education,Alameda County Community,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 670-4590,NA,www.acoe.org,1980-07-01,NA,N,County Office of Education (COE),County Community,County Community School,High School,K-12,8-12,C,37.658212,-122.09713,2016-12-07
01100170131581,0131581,0691051,13887,Alameda,Alameda County Office of Education,Oakland Unity Middle,6038 Brann Street,6038 Brann St.,Oakland,94605-1544,CA,(510) 969-5302,NA,www.unitymiddle.org,2015-08-23,NA,Y,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.767642,-122.1777,2016-08-17
01100176001788,6001788,0691051,04257,Alameda,Alameda County Office of Education,Cox Academy,9860 Sunnyside Street,9860 Sunnyside St.,Oakland,94603-2750,CA,(510) 904-6300,NA,www.efcps.org,1980-07-01,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,P-5,K-5,N,37.746513,-122.16182,2016-08-23
01100176002000,6002000,0691051,04288,Alameda,Alameda County Office of Education,Lazear Charter Academy,824 29th Avenue,824 29th Ave.,Oakland,94601-2205,CA,(510) 689-2018,NA,www.efcps.org,1980-07-01,NA,Y,County Office of Education (COE),Elementary Schools (Public),Traditional,Elementary,K-8,K-8,N,37.776239,-122.23207,2016-08-23
01100176106751,6106751,0691051,08672,Alameda,Alameda County Office of Education,Alameda County Special Education,313 West Winton Avenue,313 West Winton Ave.,Hayward,94544-1136,CA,(510) 723-3857,NA,www.acoe.org,1980-07-01,NA,N,County Office of Education (COE),Special Education Schools (Public),Special Education School,Preschool,P,NA,N,37.658212,-122.09713,2015-10-13
01316090000000,0000000,0600002,NA,Alameda,California School for the Blind (State Special Schl),NA,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,(510) 794-3800,NA,www.csb-cde.ca.gov,NA,NA,NA,State Special Schools,NA,NA,NA,NA,NA,NA,37.562576,-121.96563,2017-02-09
01316090131755,0131755,0600002,10346,Alameda,California School for the Blind (State Special Schl),California School for the Blind,500 Walnut Avenue,500 Walnut Ave.,Fremont,94536-4365,CA,(510) 794-3800,NA,NA,1980-07-01,NA,N,State Special Schools,State Special Schools,State Special School,Elementary-High Combination,K-Adult,1-12,N,37.562576,-121.96563,2016-11-10
01316170000000,0000000,0600003,NA,Alameda,California School for the Deaf-Fremont (State Special Schl),NA,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,(510) 794-3666,NA,www.csdeagles.com,NA,NA,NA,State Special Schools,NA,NA,NA,NA,NA,NA,37.558956,-121.96551,2016-08-31
01316170131763,0131763,0600003,10347,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,39350 Gallaudet Drive,39350 Gallaudet Dr.,Fremont,94538-2308,CA,(510) 794-3666,NA,www.csdeagles.com,1980-07-01,NA,N,State Special Schools,State Special Schools,State Special School,Elementary-High Combination,P-12,K-12,N,37.558956,-121.96551,2017-02-09
01611190000000,0000000,0601770,NA,Alameda,Alameda Unified,NA,2060 Challenger Dr,2060 Challenger Dr,Alameda,94501-1037,CA,(510) 337-7000,NA,www.alameda.k12.ca.us,NA,NA,NA,Unified School District,NA,NA,NA,NA,NA,NA,37.782147,-122.27009,2015-06-26
01611190106401,0106401,0601770,10547,Alameda,Alameda Unified,Alameda Science and Technology Institute,555 Atlantic Avenue,555 Atlantic Ave.,Alameda,94501-2109,CA,(510) 748-4021,NA,NA,2004-08-19,NA,N,Unified School District,Alternative Schools of Choice,Alternative School of Choice,High School,9-12,9-12,N,37.779884,-122.28052,2016-11-09
01611190111765,0111765,0601770,11549,Alameda,Alameda Unified,Ruby Bridges Elementary,351 Jack London Avenue,351 Jack London Ave.,Alameda,94501-3901,CA,(510) 748-4006,NA,NA,2006-08-28,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.781834,-122.28614,2016-11-04
01611190119222,0119222,0601770,12399,Alameda,Alameda Unified,Nea Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,(510) 748-4008,NA,www.clcschools.org,2009-08-31,NA,Y,Unified School District,K-12 Schools (Public),Traditional,Elementary-High Combination,K-12,K-12,N,37.779051,-122.28703,2017-02-07
01611190122085,0122085,0601770,00042,Alameda,Alameda Unified,The Academy of Alameda,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,(510) 748-4017,NA,http://aoaschools.org/,2010-08-30,NA,Y,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.776497,-122.28582,2015-09-30
01611190126656,0126656,0601770,13107,Alameda,Alameda Unified,Maya Lin,825 Taylor Street,825 Taylor St.,Alameda,94501-3411,CA,(510) 337-7027,NA,NA,2012-07-01,NA,N,Unified School District,Alternative Schools of Choice,Alternative School of Choice,Elementary,K-8,K-5,N,37.772724,-122.27189,2016-11-09
01611190130120,0130120,0601770,13205,Alameda,Alameda Unified,Alameda Adult,1300 Third Street,1300 Third St.,Alameda,94501,CA,(510) 522-3858,NA,NA,1980-07-01,NA,N,Unified School District,Adult Education Centers,Traditional,Adult,Adult,NA,N,37.770867,-122.2885,2016-01-29
01611190130229,0130229,0601770,00041,Alameda,Alameda Unified,Alameda High,2201 Encinal Avenue,2201 Encinal Ave.,Alameda,94501-4406,CA,(510) 337-7022,NA,NA,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.764294,-122.24807,2015-06-18
01611190130609,0130609,0601770,08673,Alameda,Alameda Unified,Alameda Community Learning Center,1900 Third Street,1900 Third St.,Alameda,94501-1851,CA,(510) 995-4300,NA,www.alamedaclc.org,2001-08-30,NA,Y,Unified School District,K-12 Schools (Public),Traditional,Elementary-High Combination,6-12,6-12,N,37.779051,-122.28703,2017-02-07
01611190130625,0130625,0601770,08674,Alameda,Alameda Unified,Alternatives in Action,6221 East 17th Street,6221 East 17th St.,Oakland,94621-4107,CA,(510) 748-4314,NA,www.alternativesinaction.org,2001-09-04,NA,Y,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,NA,NA,2017-04-05
01611190131805,0131805,0601770,13871,Alameda,Alameda Unified,The Academy of Alameda Elementary,401 Pacific Avenue,401 Pacific Ave.,Alameda,94501-1837,CA,(510) 748-4017,NA,www.aoaschools.org,2015-08-27,NA,Y,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-2,N,37.77693,-122.28528,2016-02-11
01611190132142,0132142,0601770,NA,Alameda,Alameda Unified,Encinal Junior/Senior High,210 Central Avenue,210 Central Ave.,Alameda,94501-3246,CA,(510) 748-4023,NA,http://ehs.alamedausd.ca.schoolloop.com/,2015-08-31,NA,N,Unified School District,K-12 Schools (Public),Traditional,Elementary-High Combination,6-12,6-12,N,37.772765,-122.289,2016-11-07
01611190134304,0134304,0601770,00048,Alameda,Alameda Unified,Island High (Continuation),500 Pacific Avenue,500 Pacific Ave.,Alameda,94501-2125,CA,(510) 748-4024,NA,NA,1980-07-01,NA,N,Unified School District,Continuation High Schools,Continuation School,High School,9-12,10-12,N,37.775722,-122.28124,2016-12-09
01611196090005,6090005,0601770,00051,Alameda,Alameda Unified,Donald D. Lum Elementary,1801 Sandcreek Way,1801 Sandcreek Way,Alameda,94501-6024,CA,(510) 748-4009,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.762203,-122.25895,2016-11-04
01611196090013,6090013,0601770,00044,Alameda,Alameda Unified,Edison Elementary,2700 Buena Vista Avenue,2700 Buena Vista Ave.,Alameda,94501-1610,CA,(510) 748-4002,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.765083,-122.23421,2016-11-04
01611196090021,6090021,0601770,00054,Alameda,Alameda Unified,Frank Otis Elementary,3010 Fillmore Street,3010 Fillmore St.,Alameda,94501-5544,CA,(510) 748-4013,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.754029,-122.23799,2016-11-07
01611196090039,6090039,0601770,04337,Alameda,Alameda Unified,Franklin Elementary,1433 San Antonio Avenue,1433 San Antonio Ave.,Alameda,94501-4039,CA,(510) 748-4004,NA,NA,1995-09-05,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.769036,-122.2616,2015-06-18
01611196090047,6090047,0601770,00047,Alameda,Alameda Unified,Henry Haight Elementary,2025 Santa Clara Avenue,2025 Santa Clara Ave.,Alameda,94501-2720,CA,(510) 748-4005,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.769332,-122.25106,2015-06-18
01611196090054,6090054,0601770,00049,Alameda,Alameda Unified,Lincoln Middle,1250 Fernside Boulevard,1250 Fernside Blvd.,Alameda,94501-4808,CA,(510) 748-4018,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.752242,-122.23276,2015-06-18
01611196090112,6090112,0601770,00057,Alameda,Alameda Unified,Will C. Wood Middle,420 Grand Street,420 Grand St.,Alameda,94501-5941,CA,(510) 748-4015,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.763031,-122.26192,2015-06-18
01611196090120,6090120,0601770,00003,Alameda,Alameda Unified,William G. Paden Elementary,444 Central Avenue,444 Central Ave.,Alameda,94501-3615,CA,(510) 748-4014,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.771566,-122.28446,2015-06-18
01611196100374,6100374,0601770,00043,Alameda,Alameda Unified,Amelia Earhart Elementary,400 Packet Landing Road,400 Packet Landing Rd.,Alameda,94502-6534,CA,(510) 748-4003,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.745289,-122.23928,2015-06-18
01611196110779,6110779,0601770,00006,Alameda,Alameda Unified,Bay Farm,200 Aughinbaugh Way,200 Aughinbaugh Way,Alameda,94502-7451,CA,(510) 748-4010,NA,NA,1992-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-8,K-8,N,37.738998,-122.25195,2015-06-18
01611270000000,0000000,0601860,NA,Alameda,Albany City Unified,NA,1051 Monroe Street,1051 Monroe St.,Albany,94706-2213,CA,(510) 558-3750,NA,www.ausdk12.org,NA,NA,NA,Unified School District,NA,NA,NA,NA,NA,NA,37.884367,-122.2987,2015-06-23
01611270130294,0130294,0601860,07638,Alameda,Albany City Unified,MacGregor High (Continuation),603 Key Route Blvd,603 Key Route Blvd,Albany,94706-1422,CA,(510) 559-6570,NA,NA,1980-07-01,NA,N,Unified School District,Continuation High Schools,Continuation School,High School,10-12,11-12,N,37.89642,-122.29211,2016-08-23
01611270130450,0130450,0601860,00059,Alameda,Albany City Unified,Albany High,603 Key Route Boulevard,603 Key Route Blvd.,Albany,94706-1422,CA,(510) 558-2500,NA,NA,1980-07-01,NA,N,Unified School District,High Schools (Public),Traditional,High School,9-12,9-12,N,37.896661,-122.29257,2015-12-21
01611276090146,6090146,0601860,00061,Alameda,Albany City Unified,Cornell Elementary,920 Talbot Avenue,920 Talbot Ave.,Albany,94706-2020,CA,(510) 558-3700,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.889826,-122.29518,2015-06-18
01611276090161,6090161,0601860,00060,Alameda,Albany City Unified,Albany Middle,1259 Brighton Avenue,1259 Brighton Ave.,Albany,94706-1336,CA,(510) 558-3600,NA,NA,1980-07-01,NA,N,Unified School District,Intermediate/Middle Schools (Public),Traditional,Intermediate/Middle/Junior High,6-8,6-8,N,37.897851,-122.2953,2015-06-18
01611276095376,6095376,0601860,00062,Alameda,Albany City Unified,Marin Elementary,1001 Santa Fe Avenue,1001 Santa Fe Ave.,Albany,94706-2341,CA,(510) 559-4700,NA,NA,1980-07-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.888559,-122.28817,2015-06-18
01611276116222,6116222,0601860,07937,Alameda,Albany City Unified,Ocean View Elementary,1000 Jackson Street,1000 Jackson St.,Albany,94706-1904,CA,(510) 558-4800,NA,NA,1999-09-01,NA,N,Unified School District,Elementary Schools (Public),Traditional,Elementary,K-5,K-5,N,37.887539,-122.30092,2015-06-18
